Week,amazon: (United Kingdom)
2020-01-05,55
2020-01-12,53
2020-01-19,54
2020-01-26,55
2020-02-02,53
2020-02-09,51
2020-02-16,53
2020-02-23,55
2020-03-01,57
2020-03-08,56
2020-03-15,66
2020-03-22,80
2020-03-29,86
2020-04-05,86
2020-04-12,87
2020-04-19,86
2020-04-26,84
2020-05-03,82
2020-05-10,82
2020-05-17,80
2020-05-24,81
2020-05-31,76
2020-06-07,74
2020-06-14,73
2020-06-21,70
2020-06-28,71
2020-07-05,66
2020-07-12,68
2020-07-19,65
2020-07-26,62
2020-08-02,62
2020-08-09,61
2020-08-16,58
2020-08-23,62
2020-08-30,64
2020-09-06,62
2020-09-13,61
2020-09-20,62
2020-09-27,67
2020-10-04,65
2020-10-11,78
2020-10-18,68
2020-10-25,71
2020-11-01,76
2020-11-08,85
2020-11-15,94
2020-11-22,100
2020-11-29,93
2020-12-06,90
2020-12-13,91
2020-12-20,80
2020-12-27,80
2021-01-03,73
2021-01-10,74
2021-01-17,73
2021-01-24,71
2021-01-31,73
2021-02-07,71
2021-02-14,71
2021-02-21,65
2021-02-28,69
2021-03-07,66
2021-03-14,62
2021-03-21,67
2021-03-28,69
2021-04-04,63
2021-04-11,59
2021-04-18,59
2021-04-25,60
2021-05-02,63
