Week,amazon desk: (United Kingdom)
2020-01-05,24
2020-01-12,31
2020-01-19,20
2020-01-26,33
2020-02-02,33
2020-02-09,27
2020-02-16,29
2020-02-23,26
2020-03-01,22
2020-03-08,37
2020-03-15,65
2020-03-22,84
2020-03-29,60
2020-04-05,37
2020-04-12,58
2020-04-19,41
2020-04-26,41
2020-05-03,53
2020-05-10,57
2020-05-17,69
2020-05-24,58
2020-05-31,42
2020-06-07,60
2020-06-14,74
2020-06-21,57
2020-06-28,72
2020-07-05,62
2020-07-12,51
2020-07-19,39
2020-07-26,47
2020-08-02,50
2020-08-09,45
2020-08-16,52
2020-08-23,22
2020-08-30,39
2020-09-06,52
2020-09-13,45
2020-09-20,73
2020-09-27,62
2020-10-04,60
2020-10-11,74
2020-10-18,64
2020-10-25,58
2020-11-01,66
2020-11-08,75
2020-11-15,70
2020-11-22,76
2020-11-29,79
2020-12-06,59
2020-12-13,56
2020-12-20,38
2020-12-27,55
2021-01-03,100
2021-01-10,71
2021-01-17,66
2021-01-24,61
2021-01-31,65
2021-02-07,56
2021-02-14,47
2021-02-21,45
2021-02-28,44
2021-03-07,24
2021-03-14,33
2021-03-21,33
2021-03-28,42
2021-04-04,41
2021-04-11,40
2021-04-18,29
2021-04-25,31
2021-05-02,19
