Week,amazon dumbbells: (United Kingdom)
2020-01-05,6
2020-01-12,0
2020-01-19,3
2020-01-26,6
2020-02-02,6
2020-02-09,3
2020-02-16,9
2020-02-23,9
2020-03-01,0
2020-03-08,9
2020-03-15,65
2020-03-22,100
2020-03-29,79
2020-04-05,40
2020-04-12,61
2020-04-19,45
2020-04-26,52
2020-05-03,39
2020-05-10,47
2020-05-17,25
2020-05-24,33
2020-05-31,24
2020-06-07,16
2020-06-14,17
2020-06-21,14
2020-06-28,22
2020-07-05,23
2020-07-12,12
2020-07-19,25
2020-07-26,12
2020-08-02,16
2020-08-09,16
2020-08-16,9
2020-08-23,15
2020-08-30,6
2020-09-06,3
2020-09-13,9
2020-09-20,12
2020-09-27,15
2020-10-04,6
2020-10-11,3
2020-10-18,13
2020-10-25,16
2020-11-01,37
2020-11-08,25
2020-11-15,24
2020-11-22,24
2020-11-29,6
2020-12-06,13
2020-12-13,10
2020-12-20,14
2020-12-27,45
2021-01-03,52
2021-01-10,36
2021-01-17,15
2021-01-24,28
2021-01-31,25
2021-02-07,19
2021-02-14,38
2021-02-21,15
2021-02-28,9
2021-03-07,23
2021-03-14,6
2021-03-21,10
2021-03-28,7
2021-04-04,13
2021-04-11,3
2021-04-18,0
2021-04-25,10
2021-05-02,12
