Week,amazon kettlebell: (United Kingdom)
2020-01-05,0
2020-01-12,0
2020-01-19,11
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,5
2020-03-15,75
2020-03-22,100
2020-03-29,61
2020-04-05,68
2020-04-12,36
2020-04-19,15
2020-04-26,54
2020-05-03,15
2020-05-10,40
2020-05-17,15
2020-05-24,5
2020-05-31,15
2020-06-07,29
2020-06-14,25
2020-06-21,26
2020-06-28,40
2020-07-05,21
2020-07-12,16
2020-07-19,17
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,11
2020-08-23,6
2020-08-30,11
2020-09-06,23
2020-09-13,0
2020-09-20,11
2020-09-27,28
2020-10-04,6
2020-10-11,12
2020-10-18,12
2020-10-25,11
2020-11-01,22
2020-11-08,17
2020-11-15,17
2020-11-22,11
2020-11-29,0
2020-12-06,6
2020-12-13,12
2020-12-20,6
2020-12-27,23
2021-01-03,22
2021-01-10,11
2021-01-17,27
2021-01-24,28
2021-01-31,17
2021-02-07,22
2021-02-14,0
2021-02-21,11
2021-02-28,0
2021-03-07,6
2021-03-14,0
2021-03-21,0
2021-03-28,6
2021-04-04,12
2021-04-11,19
2021-04-18,0
2021-04-25,0
2021-05-02,0
