Week,amazon laptop: (United Kingdom)
2020-01-05,36
2020-01-12,40
2020-01-19,43
2020-01-26,28
2020-02-02,28
2020-02-09,38
2020-02-16,56
2020-02-23,39
2020-03-01,33
2020-03-08,44
2020-03-15,92
2020-03-22,100
2020-03-29,76
2020-04-05,64
2020-04-12,69
2020-04-19,88
2020-04-26,72
2020-05-03,74
2020-05-10,64
2020-05-17,59
2020-05-24,58
2020-05-31,54
2020-06-07,68
2020-06-14,55
2020-06-21,42
2020-06-28,55
2020-07-05,53
2020-07-12,66
2020-07-19,54
2020-07-26,52
2020-08-02,44
2020-08-09,52
2020-08-16,54
2020-08-23,57
2020-08-30,56
2020-09-06,59
2020-09-13,50
2020-09-20,68
2020-09-27,81
2020-10-04,57
2020-10-11,64
2020-10-18,64
2020-10-25,49
2020-11-01,62
2020-11-08,86
2020-11-15,89
2020-11-22,93
2020-11-29,64
2020-12-06,65
2020-12-13,57
2020-12-20,75
2020-12-27,45
2021-01-03,96
2021-01-10,78
2021-01-17,55
2021-01-24,74
2021-01-31,51
2021-02-07,65
2021-02-14,50
2021-02-21,53
2021-02-28,42
2021-03-07,48
2021-03-14,32
2021-03-21,46
2021-03-28,53
2021-04-04,37
2021-04-11,40
2021-04-18,39
2021-04-25,26
2021-05-02,31
